pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,IMP_2355131_PS.pdf,Chicago,63,622,63,2024-03-18T16:18:19.000+00:00,2024-03-18T16:21:47.000+00:00,2024-03-18T16:18:19.000,2024-03-18T16:21:47.000,0,331,No,47200165_1772523_1710778907000_1710778907000,482.6,62773841-83fc-4251-aa11-864a43545e15,221362069,0,A3,True,0,0,1,621,IMPRESSIONS,208,PRINTED,None,63,SHEETS,RLM-724912- 100# velvet cover 13x19,63.0,None,None,None,None,None,None,124.0,ef052y842007py,P425CR,124.0,None,Black,125.0,EF073Y6833A6U1,Magenta,125.0,ef033y6077ac04,Cyan,124.0,ef013y9722c5r5
47200165,IMP_2354545_PS.pdf,Chicago,61,602,61,2024-03-18T16:15:07.000+00:00,2024-03-18T16:18:26.000+00:00,2024-03-18T16:15:07.000,2024-03-18T16:18:26.000,0,331,No,47200165_1772493_1710778706000_1710778706000,482.6,62773841-83fc-4251-aa11-864a43545e15,221362070,0,A3,True,0,0,1,601,IMPRESSIONS,199,PRINTED,None,61,SHEETS,RLM-724912- 100# velvet cover 13x19,61.0,None,None,None,None,None,None,120.0,ef052y842007py,P425CR,120.0,None,Black,121.0,EF073Y6833A6U1,Magenta,121.0,ef033y6077ac04,Cyan,120.0,ef013y9722c5r5
47200165,IMP_2355358_PS.pdf,Chicago,111,552,111,2024-03-18T16:12:12.000+00:00,2024-03-18T16:15:11.000+00:00,2024-03-18T16:12:12.000,2024-03-18T16:15:11.000,0,331,No,47200165_1772430_1710778299000_1710778299000,482.6,62773841-83fc-4251-aa11-864a43545e15,221362071,0,A3,False,0,0,1,551,IMPRESSIONS,179,PRINTED,None,111,SHEETS,RLM-724912- 100# velvet cover 13x19,111.0,None,None,None,None,None,None,110.0,ef052y842007py,P425CR,110.0,None,Black,111.0,EF073Y6833A6U1,Magenta,111.0,ef033y6077ac04,Cyan,110.0,ef013y9722c5r5
60001071,11789979_130016727_3_JDF,Chicago,2,16,2,2024-03-18T16:34:01.000+00:00,2024-03-18T16:34:37.000+00:00,2024-03-18T16:34:01.000,2024-03-18T16:34:37.000,0,748,No,60001071_10805916_1710779677000_1710779677000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,221363427,0,B2,True,0,0,0,16,IMPRESSIONS,36,PRINTED,None,2,SHEETS,1302259_1309871_J711912 MFP,2.0,None,None,None,None,None,None,4.0,EG00Y2Y417634.75T1HR,Cyan,4.0,EGC3Y249834.750381,Magenta,4.0,EGM3Y296134.750197,Black,4.0,EGK3Y729834.750174,,,
47200165,IMP_2355630_PS.pdf,Chicago,61,302,61,2024-03-18T16:32:03.000+00:00,2024-03-18T16:33:54.000+00:00,2024-03-18T16:32:03.000,2024-03-18T16:33:54.000,0,331,No,47200165_1772553_1710779634000_1710779634000,482.6,62773841-83fc-4251-aa11-864a43545e15,221365209,0,A3,False,0,0,1,301,IMPRESSIONS,111,PRINTED,None,61,SHEETS,RLM-724912- 100# velvet cover 13x19,61.0,None,None,None,None,None,None,60.0,ef052y842007py,P425CR,60.0,None,Black,61.0,EF073Y6833A6U1,Magenta,61.0,ef033y6077ac04,Cyan,60.0,ef013y9722c5r5
47200165,IMP_2355803_PS.pdf,Chicago,2,10,2,2024-03-18T16:35:02.000+00:00,2024-03-18T16:35:36.000+00:00,2024-03-18T16:35:02.000,2024-03-18T16:35:36.000,0,331,No,47200165_1772568_1710779736000_1710779736000,482.6,62773841-83fc-4251-aa11-864a43545e15,221365210,0,A3,False,0,0,0,10,IMPRESSIONS,34,PRINTED,None,2,SHEETS,RLM-724912- 100# velvet cover 13x19,2.0,None,None,None,None,None,None,2.0,ef052y842007py,P425CR,2.0,None,Black,2.0,EF073Y6833A6U1,Magenta,2.0,ef033y6077ac04,Cyan,2.0,ef013y9722c5r5
60001112,11790921_130016727_2_JDF,Chicago,650,5200,650,2024-03-18T16:18:55.000+00:00,2024-03-18T16:41:09.000+00:00,2024-03-18T16:18:55.000,2024-03-18T16:41:09.000,0,748,No,60001112_734313_1710778600000_1710778600000,528.0,2607605d-ecc6-49f3-9488-b495786295be,221367012,0,B2,True,0,0,0,5200,IMPRESSIONS,1334,PRINTED,None,650,SHEETS,1302259_1309871_J711912 MFP,650.0,None,None,None,None,None,None,1300.0,EG00Y2Y417634.759EKW,Cyan,1300.0,EGC3Y249834.750382,Magenta,1300.0,EGM3Y296134.750196,Black,1300.0,EGK3Y729834.750173,,,
60001112,11790921_130016727_1_JDF,Chicago,132,1056,132,2024-03-18T16:40:01.000+00:00,2024-03-18T16:46:10.000+00:00,2024-03-18T16:40:01.000,2024-03-18T16:46:10.000,0,748,No,60001112_734842_1710780370000_1710780370000,528.0,2607605d-ecc6-49f3-9488-b495786295be,221367015,0,B2,True,0,0,0,1056,IMPRESSIONS,369,PRINTED,None,132,SHEETS,1302259_1309871_J711912 MFP,132.0,None,None,None,None,None,None,264.0,EG00Y2Y417634.759EKW,Cyan,264.0,EGC3Y249834.750382,Magenta,264.0,EGM3Y296134.750196,Black,264.0,EGK3Y729834.750173,,,
47200165,IMP_2355608_PS.pdf,Chicago,21,202,21,2024-03-18T16:40:22.000+00:00,2024-03-18T16:41:33.000+00:00,2024-03-18T16:40:22.000,2024-03-18T16:41:33.000,0,331,No,47200165_1772640_1710780093000_1710780093000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371916,0,A3,True,0,0,1,201,IMPRESSIONS,71,PRINTED,None,21,SHEETS,RLM-724912- 100# velvet cover 13x19,21.0,None,None,None,None,None,None,40.0,ef052y842007py,P425CR,40.0,None,Black,41.0,EF073Y6833A6U1,Magenta,41.0,ef033y6077ac04,Cyan,40.0,ef013y9722c5r5
47200165,IMP_2355801_PS.pdf,Chicago,36,177,36,2024-03-18T16:37:41.000+00:00,2024-03-18T16:38:33.000+00:00,2024-03-18T16:37:41.000,2024-03-18T16:38:33.000,0,331,No,47200165_1772595_1710779913000_1710779913000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371917,0,A3,False,0,0,1,176,IMPRESSIONS,52,PRINTED,None,36,SHEETS,RLM-724912- 100# velvet cover 13x19,36.0,None,None,None,None,None,None,35.0,ef052y842007py,P425CR,35.0,None,Black,36.0,EF073Y6833A6U1,Magenta,36.0,ef033y6077ac04,Cyan,35.0,ef013y9722c5r5
47200165,IMP_2355607_PS.pdf,Chicago,21,202,21,2024-03-18T16:39:17.000+00:00,2024-03-18T16:40:28.000+00:00,2024-03-18T16:39:17.000,2024-03-18T16:40:28.000,0,331,No,47200165_1772626_1710780028000_1710780028000,482.6,62773841-83fc-4251-aa11-864a43545e15,221371918,0,A3,True,0,0,1,201,IMPRESSIONS,71,PRINTED,None,21,SHEETS,RLM-724912- 100# velvet cover 13x19,21.0,None,None,None,None,None,None,40.0,ef052y842007py,P425CR,40.0,None,Black,41.0,EF073Y6833A6U1,Magenta,41.0,ef033y6077ac04,Cyan,40.0,ef013y9722c5r5
