pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed
60001071,11790678_130016755_1_JDF,Chicago,67,268,67,2024-03-16T09:25:44.000+00:00,2024-03-16T09:27:06.000+00:00,2024-03-16T09:25:44.000,2024-03-16T09:27:06.000,0,750,No,60001071_10770813_1710581226000_1710581226000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220227278,0,B2,False,0,0,0,268,IMPRESSIONS,82,PRINTED,,67,SHEETS,130016755     14pt C2S Gloss Cover,67.0,Yellow,67.0,EG00Y2Y417634.754LHK,Cyan,67.0,EGC3Y250634.750014,Magenta,67.0,EG00M2Y401434.75WIES,Black,67.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,0,0,0,2024-03-16T09:26:38.000+00:00,2024-03-16T09:27:07.000+00:00,2024-03-16T09:26:38.000,2024-03-16T09:27:07.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220227279,0,B2,True,0,0,0,0,IMPRESSIONS,29,ABORTED,,,,,,,,,,,,,,,,,,,,,,,
60001071,11790811_130016755_JDF,Chicago,216,1728,216,2024-03-16T09:28:04.000+00:00,2024-03-16T09:34:10.000+00:00,2024-03-16T09:28:04.000,2024-03-16T09:34:10.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220227283,0,B2,True,0,0,0,1728,IMPRESSIONS,366,ABORTED,,216,SHEETS,130016755     14pt C2S Gloss Cover,216.0,Yellow,432.0,EG00Y2Y417634.754LHK,Cyan,432.0,EGC3Y250634.750014,Magenta,432.0,EG00M2Y401434.75WIES,Black,432.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,23,184,23,2024-03-16T09:34:22.000+00:00,2024-03-16T09:35:08.000+00:00,2024-03-16T09:34:22.000,2024-03-16T09:35:08.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220227285,0,B2,True,0,0,0,184,IMPRESSIONS,46,ABORTED,,23,SHEETS,130016755     14pt C2S Gloss Cover,23.0,Yellow,46.0,EG00Y2Y417634.754LHK,Cyan,46.0,EGC3Y250634.750014,Magenta,46.0,EG00M2Y401434.75WIES,Black,46.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,22,176,22,2024-03-16T09:35:20.000+00:00,2024-03-16T09:36:05.000+00:00,2024-03-16T09:35:20.000,2024-03-16T09:36:05.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220227287,0,B2,True,0,0,0,176,IMPRESSIONS,45,ABORTED,,22,SHEETS,130016755     14pt C2S Gloss Cover,22.0,Yellow,44.0,EG00Y2Y417634.754LHK,Cyan,44.0,EGC3Y250634.750014,Magenta,44.0,EG00M2Y401434.75WIES,Black,44.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,22,176,22,2024-03-16T09:36:17.000+00:00,2024-03-16T09:37:02.000+00:00,2024-03-16T09:36:17.000,2024-03-16T09:37:02.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229012,0,B2,True,0,0,0,176,IMPRESSIONS,45,ABORTED,,22,SHEETS,130016755     14pt C2S Gloss Cover,22.0,Yellow,44.0,EG00Y2Y417634.754LHK,Cyan,44.0,EGC3Y250634.750014,Magenta,44.0,EG00M2Y401434.75WIES,Black,44.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,23,184,23,2024-03-16T09:37:14.000+00:00,2024-03-16T09:38:00.000+00:00,2024-03-16T09:37:14.000,2024-03-16T09:38:00.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229014,0,B2,True,0,0,0,184,IMPRESSIONS,46,ABORTED,,23,SHEETS,130016755     14pt C2S Gloss Cover,23.0,Yellow,46.0,EG00Y2Y417634.754LHK,Cyan,46.0,EGC3Y250634.750014,Magenta,46.0,EG00M2Y401434.75WIES,Black,46.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,23,184,23,2024-03-16T09:38:12.000+00:00,2024-03-16T09:38:58.000+00:00,2024-03-16T09:38:12.000,2024-03-16T09:38:58.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229016,0,B2,True,0,0,0,184,IMPRESSIONS,46,ABORTED,,23,SHEETS,130016755     14pt C2S Gloss Cover,23.0,Yellow,46.0,EG00Y2Y417634.754LHK,Cyan,46.0,EGC3Y250634.750014,Magenta,46.0,EG00M2Y401434.75WIES,Black,46.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,18,144,18,2024-03-16T09:39:12.000+00:00,2024-03-16T09:39:57.000+00:00,2024-03-16T09:39:12.000,2024-03-16T09:39:57.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229018,0,B2,True,0,0,0,144,IMPRESSIONS,45,ABORTED,,18,SHEETS,130016755     14pt C2S Gloss Cover,18.0,Yellow,36.0,EG00Y2Y417634.754LHK,Cyan,36.0,EGC3Y250634.750014,Magenta,36.0,EG00M2Y401434.75WIES,Black,36.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,22,176,22,2024-03-16T09:40:09.000+00:00,2024-03-16T09:40:54.000+00:00,2024-03-16T09:40:09.000,2024-03-16T09:40:54.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229020,0,B2,True,0,0,0,176,IMPRESSIONS,45,ABORTED,,22,SHEETS,130016755     14pt C2S Gloss Cover,22.0,Yellow,44.0,EG00Y2Y417634.754LHK,Cyan,44.0,EGC3Y250634.750014,Magenta,44.0,EG00M2Y401434.75WIES,Black,44.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,23,184,23,2024-03-16T09:41:06.000+00:00,2024-03-16T09:41:52.000+00:00,2024-03-16T09:41:06.000,2024-03-16T09:41:52.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229022,0,B2,True,0,0,0,184,IMPRESSIONS,46,ABORTED,,23,SHEETS,130016755     14pt C2S Gloss Cover,23.0,Yellow,46.0,EG00Y2Y417634.754LHK,Cyan,46.0,EGC3Y250634.750014,Magenta,46.0,EG00M2Y401434.75WIES,Black,46.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,23,184,23,2024-03-16T09:42:05.000+00:00,2024-03-16T09:42:50.000+00:00,2024-03-16T09:42:05.000,2024-03-16T09:42:50.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229024,0,B2,True,0,0,0,184,IMPRESSIONS,45,ABORTED,,23,SHEETS,130016755     14pt C2S Gloss Cover,23.0,Yellow,46.0,EG00Y2Y417634.754LHK,Cyan,46.0,EGC3Y250634.750014,Magenta,46.0,EG00M2Y401434.75WIES,Black,46.0,EGK3Y729834.750179,,,,,,
60001071,11790811_130016755_JDF,Chicago,16,138,16,2024-03-16T09:43:03.000+00:00,2024-03-16T09:43:41.000+00:00,2024-03-16T09:43:03.000,2024-03-16T09:43:41.000,0,750,No,60001071_10770816_1710581227000_1710581227000,528.0,1c666851-a007-4085-9cb4-edf1c38b0ebb,220229026,0,B2,True,0,0,0,138,IMPRESSIONS,38,ABORTED,,16,SHEETS,130016755     14pt C2S Gloss Cover,16.0,Yellow,35.0,EG00Y2Y417634.754LHK,Cyan,34.0,EGC3Y250634.750014,Magenta,35.0,EG00M2Y401434.75WIES,Black,34.0,EGK3Y729834.750179,,,,,,
60001112,1012559_MailingB_Print_2.pdf,Chicago,273,2184,273,2024-03-16T09:27:09.000+00:00,2024-03-16T09:35:03.000+00:00,2024-03-16T09:27:09.000,2024-03-16T09:35:03.000,0,-1,-1,60001112_698004_1710511514000_1710511514000,-1.0,2607605d-ecc6-49f3-9488-b495786295be,220229270,0,B2,False,0,0,0,2184,IMPRESSIONS,474,ABORTED,,273,SHEETS,130016508      100lb Gloss Cover,273.0,Yellow,546.0,EG00Y2Y417634.75NPUD,Cyan,546.0,EGC3Y256534.750304,Magenta,546.0,EG00M2Y401434.75DE1Z,Black,546.0,EGK3Y729834.750163,,,,,,
