pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_0_name,substrates_0_amountUsed,inks_0_color,inks_0_amountUsed,inks_0_inkSerialNumber,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber
47200165,IMP_2345719.pdf,Chicago,0,0,0,2024-03-06T16:36:28.000+00:00,2024-03-06T16:36:33.000+00:00,2024-03-06T16:36:28.000,2024-03-06T16:36:33.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828445,-1,A3,False,0,0,0,0,IMPRESSIONS,5,ABORTED,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2345719.pdf,Chicago,0,0,0,2024-03-06T16:35:56.000+00:00,2024-03-06T16:36:01.000+00:00,2024-03-06T16:35:56.000,2024-03-06T16:36:01.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828444,-1,A3,False,0,0,0,0,IMPRESSIONS,5,ABORTED,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2348884.pdf,Chicago,2,16,2,2024-03-06T16:31:54.000+00:00,2024-03-06T16:32:06.000+00:00,2024-03-06T16:31:54.000,2024-03-06T16:32:06.000,0,331,No,47200165_1715706_1709742726000_1709742726000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828443,0,A3,True,0,0,0,16,IMPRESSIONS,12,PRINTED,,2,SHEETS,PSP-130015965-16pt Coated Gloss Cover,2.0,Yellow,4.0,EF053Y0020JWU6,Cyan,4.0,EF013Y9797G78Z,Magenta,4.0,EF033Y5936LZ19,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2345798.pdf,Chicago,62,496,62,2024-03-06T16:27:08.000+00:00,2024-03-06T16:29:34.000+00:00,2024-03-06T16:27:08.000,2024-03-06T16:29:34.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828442,0,A3,True,0,0,0,496,IMPRESSIONS,146,ABORTED,,62,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,62.0,Yellow,124.0,EF053Y0020JWU6,Cyan,124.0,EF013Y9797G78Z,Magenta,124.0,EF033Y5936LZ19,Black,124.0,ef073y6567gdev,,,
47200165,IMP_2345798.pdf,Chicago,260,2080,260,2024-03-06T16:17:45.000+00:00,2024-03-06T16:26:49.000+00:00,2024-03-06T16:17:45.000,2024-03-06T16:26:49.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212821802,0,A3,True,0,0,0,2080,IMPRESSIONS,544,ABORTED,,260,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,260.0,Yellow,520.0,EF053Y0020JWU6,Cyan,520.0,EF013Y9797G78Z,Magenta,520.0,EF033Y5936LZ19,Black,520.0,ef073y6567gdev,,,
47200165,IMP_2346855.pdf,Chicago,61,482,61,2024-03-06T16:12:25.000+00:00,2024-03-06T16:15:01.000+00:00,2024-03-06T16:12:25.000,2024-03-06T16:15:01.000,0,330,No,47200165_1715570_1709741218000_1709741218000,482.9,62773841-83fc-4251-aa11-864a43545e15,212818595,0,A3,True,0,0,1,481,IMPRESSIONS,156,PRINTED,,61,SHEETS,RLM-724812-80# Velvet Cover 13x19,61.0,Yellow,120.0,EF052Y84134FK3,Cyan,120.0,EF013Y9797W2UT,Magenta,121.0,EF033Y5936FI8V,Black,121.0,ef073y6567gdev,,,
47200165,IMP_2346855.pdf,Chicago,2,16,2,2024-03-06T16:06:40.000+00:00,2024-03-06T16:06:58.000+00:00,2024-03-06T16:06:40.000,2024-03-06T16:06:58.000,0,330,No,47200165_1715570_1709741218000_1709741218000,482.9,62773841-83fc-4251-aa11-864a43545e15,212818592,0,A3,True,0,0,0,16,IMPRESSIONS,18,PRINTED,,2,SHEETS,RLM-724812-80# Velvet Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2348720_PS.pdf,Chicago,2,20,2,2024-03-06T15:53:49.000+00:00,2024-03-06T15:54:23.000+00:00,2024-03-06T15:53:49.000,2024-03-06T15:54:23.000,0,330,No,47200165_1715546_1709740463000_1709740463000,482.9,62773841-83fc-4251-aa11-864a43545e15,212811639,0,A3,True,0,0,0,20,IMPRESSIONS,34,PRINTED,,2,SHEETS,RLM-724812-80# Velvet Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,P425CR,4.0,None,Black,4.0,ef073y6567gdev,Magenta,4.0,EF033Y5936FI8V,Cyan,4.0,EF013Y9797W2UT
47200165,IMP_2345798.pdf,Chicago,2,16,2,2024-03-06T15:59:45.000+00:00,2024-03-06T15:59:55.000+00:00,2024-03-06T15:59:45.000,2024-03-06T15:59:55.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212811638,0,A3,True,0,0,0,16,IMPRESSIONS,10,PRINTED,,2,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2348728_PS.pdf,Chicago,130,1292,130,2024-03-06T15:17:20.000+00:00,2024-03-06T15:23:21.000+00:00,2024-03-06T15:17:20.000,2024-03-06T15:23:21.000,0,330,No,47200165_1712029_1709706078000_1709706078000,483.0,62773841-83fc-4251-aa11-864a43545e15,212808199,0,A3,True,0,0,1,1291,IMPRESSIONS,361,PRINTED,,130,SHEETS,RLM-726913-100# Uncoated Cover 13x19,130.0,Yellow,258.0,EF052Y84134FK3,P425CR,258.0,None,Black,259.0,ef073y6567gdev,Magenta,259.0,EF033Y5936FI8V,Cyan,258.0,EF013Y9797W2UT
