pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,11787602_130017133_JDF,Chicago,51,202,51,2024-03-05T10:44:38.000+00:00,2024-03-05T10:46:13.000+00:00,2024-03-05T10:44:38.000,2024-03-05T10:46:13.000,0,305,No,47200165_1705854_1709634932000_1709634932000,457.2,62773841-83fc-4251-aa11-864a43545e15,211597544,0,A3,False,0,0,1,201,IMPRESSIONS,95,PRINTED,,51,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),51.0,,,,,,,Yellow,50.0,EF052Y8413KTK2,Cyan,50.0,EF013Y9797TCGM,Magenta,51.0,EF033Y5936A8O7,Black,51.0,EF073Y6567PKLG,,,
47200165,11787600_130017133_JDF,Chicago,340,1360,340,2024-03-05T10:54:02.000+00:00,2024-03-05T11:00:53.000+00:00,2024-03-05T10:54:02.000,2024-03-05T11:00:53.000,0,305,No,47200165_1706011_1709635891000_1709635891000,457.2,62773841-83fc-4251-aa11-864a43545e15,211609041,0,A3,False,0,0,0,1360,IMPRESSIONS,411,ABORTED,,340,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),340.0,,,,,,,Yellow,340.0,EF052Y8413KTK2,Cyan,340.0,EF013Y9797TCGM,Magenta,340.0,EF033Y5936A8O7,Black,340.0,EF073Y6567PKLG,,,
47200165,11787600_130017133_JDF,Chicago,921,3682,921,2024-03-05T11:02:12.000+00:00,2024-03-05T11:19:38.000+00:00,2024-03-05T11:02:12.000,2024-03-05T11:19:38.000,0,305,No,47200165_1706011_1709635891000_1709635891000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624648,0,A3,False,0,0,1,3681,IMPRESSIONS,1046,PRINTED,,921,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),921.0,,,,,,,Yellow,920.0,EF052Y8413KTK2,Cyan,920.0,EF013Y9797TCGM,Magenta,921.0,ef033y5936w3gk,Black,921.0,EF073Y6567PKLG,,,
47200165,11787601_130017133_JDF,Chicago,253,1010,253,2024-03-05T11:19:31.000+00:00,2024-03-05T11:24:21.000+00:00,2024-03-05T11:19:31.000,2024-03-05T11:24:21.000,0,305,No,47200165_1706374_1709637861000_1709637861000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624649,0,A3,False,0,0,1,1009,IMPRESSIONS,290,PRINTED,,253,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,Cyan,252.0,EF013Y9797TCGM,Magenta,253.0,ef033y5936w3gk,Black,253.0,EF073Y6567PKLG,,,
47200165,IMP_2347877_PS.pdf,Chicago,1,10,1,2024-03-05T11:24:15.000+00:00,2024-03-05T11:24:31.000+00:00,2024-03-05T11:24:15.000,2024-03-05T11:24:31.000,0,305,No,47200165_1706387_1709637871000_1709637871000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624650,0,A3,True,0,0,0,10,IMPRESSIONS,16,ABORTED,,1,SHEETS,RLM-726110-130# Uncoated Cover 12x18,1.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,P425CR,2.0,None,Black,2.0,EF073Y6567PKLG,Magenta,2.0,ef033y5936w3gk,Cyan,2.0,EF013Y9797TCGM
47200165,IMP_2347877_PS.pdf,Chicago,0,0,0,2024-03-05T11:26:05.000+00:00,2024-03-05T11:26:22.000+00:00,2024-03-05T11:26:05.000,2024-03-05T11:26:22.000,0,305,No,47200165_1706387_1709637871000_1709637871000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624651,-1,A3,True,0,0,0,0,IMPRESSIONS,17,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,DBEEY7_130017133_JDF,Chicago,10,38,10,2024-03-05T11:31:23.000+00:00,2024-03-05T11:31:39.000+00:00,2024-03-05T11:31:23.000,2024-03-05T11:31:39.000,0,305,No,47200165_1706481_1709638299000_1709638299000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629868,0,A3,False,0,0,1,37,IMPRESSIONS,16,PRINTED,,10,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),10.0,,,,,,,Yellow,9.0,EF052Y8413KTK2,Cyan,9.0,EF013Y9797TCGM,Magenta,10.0,ef033y5936w3gk,Black,10.0,EF073Y6567PKLG,,,
47200165,IMP_2345802.pdf,Chicago,0,0,0,2024-03-05T11:33:12.000+00:00,2024-03-05T11:33:21.000+00:00,2024-03-05T11:33:12.000,2024-03-05T11:33:21.000,0,330,No,47200165_1706543_1709638401000_1709638401000,482.6,62773841-83fc-4251-aa11-864a43545e15,211629869,-1,A3,False,0,0,0,0,IMPRESSIONS,9,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,DBEEY8_130017133_JDF,Chicago,10,38,10,2024-03-05T11:31:12.000+00:00,2024-03-05T11:31:29.000+00:00,2024-03-05T11:31:12.000,2024-03-05T11:31:29.000,0,305,No,47200165_1706471_1709638289000_1709638289000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629870,0,A3,False,0,0,1,37,IMPRESSIONS,17,PRINTED,,10,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),10.0,,,,,,,Yellow,9.0,EF052Y8413KTK2,Cyan,9.0,EF013Y9797TCGM,Magenta,10.0,ef033y5936w3gk,Black,10.0,EF073Y6567PKLG,,,
47200165,DBEEY6_130017133_JDF,Chicago,42,166,42,2024-03-05T11:31:33.000+00:00,2024-03-05T11:32:26.000+00:00,2024-03-05T11:31:33.000,2024-03-05T11:32:26.000,0,305,No,47200165_1706498_1709638346000_1709638346000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629871,0,A3,False,0,0,1,165,IMPRESSIONS,53,PRINTED,,42,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),42.0,,,,,,,Yellow,41.0,EF052Y8413KTK2,Cyan,41.0,EF013Y9797TCGM,Magenta,42.0,ef033y5936w3gk,Black,42.0,EF073Y6567PKLG,,,
